UP;FAZENDA;TRANSPORTADOR;DIA;MES;DB;RSP;QTD_VEICULOS;VOLUME
S3AX01;INDIANA II;Pastori;1;5;476,35931165453064;1,546496658710454;27;3207,6
S3AX01;INDIANA II;Rampazo;1;5;476,35931165453064;1,546496658710454;21;2494,8
S6BG12;SINIMBU;Tover;1;5;478,1907425638097;1,5321403213808318;14;2297,6000000000004
S3AX01;INDIANA II;Pastori;2;5;476,35931165453064;1,546496658710454;27;3207,6
S3AX01;INDIANA II;Rampazo;2;5;476,35931165453064;1,546496658710454;21;2494,8
S6BG12;SINIMBU;Tover;2;5;478,1907425638097;1,5321403213808318;14;2297,6000000000004
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Pastori;3;5;471,88326453558943;1,4101627217065384;27;2673,0
S3AX03;INDIANA II;Rampazo;3;5;410,08188877940256;1,3022261539839008;21;2124,07
S6BG12;SINIMBU;Tover;3;5;478,1907425638097;1,5321403213808318;14;2310,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Pastori;4;5;471,88326453558943;1,4101627217065384;27;2673,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;4;5;471,88326453558943;1,4101627217065384;21;2079,0
S6BG12;SINIMBU;Tover;4;5;478,1907425638097;1,5321403213808318;14;2310,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Pastori;5;5;471,88326453558943;1,4101627217065384;27;2673,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;5;5;471,88326453558943;1,4101627217065384;21;2079,0
S6BG12;SINIMBU;Tover;5;5;478,1907425638097;1,5321403213808318;14;2310,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Pastori;6;5;471,88326453558943;1,4101627217065384;27;2673,0
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Rampazo;6;5;489,6578141156763;1,4414397793136209;21;2079,0
S6BX01;SANTO ANTONIO SALIG.;Tover;6;5;450,0;1,44;14;2032,8000000000002
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Pastori;7;5;489,6578141156763;1,4414397793136209;27;2673,0
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Rampazo;7;5;489,6578141156763;1,4414397793136209;21;2079,0
S6BX01;SANTO ANTONIO SALIG.;Tover;7;5;450,0;1,44;14;2032,8000000000002
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Pastori;8;5;489,6578141156763;1,4414397793136209;27;2673,0
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Rampazo;8;5;489,6578141156763;1,4414397793136209;21;2079,0
S6BX01;SANTO ANTONIO SALIG.;Tover;8;5;450,0;1,44;14;2032,8000000000002
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;9;5;467,55335131606887;1,3785303023915199;27;2673,0
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;9;5;467,55335131606887;1,3785303023915199;21;2079,0
S6BX01;SANTO ANTONIO SALIG.;Tover;9;5;450,0;1,44;14;2032,8000000000002
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;10;5;467,55335131606887;1,3785303023915199;27;2673,0
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;10;5;467,55335131606887;1,3785303023915199;21;2079,0
S6BX01;SANTO ANTONIO SALIG.;Tover;10;5;450,0;1,44;14;2032,8000000000002
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;11;5;467,55335131606887;1,3785303023915199;27;2673,0
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;11;5;467,55335131606887;1,3785303023915199;21;2079,0
S6BX01;SANTO ANTONIO SALIG.;Tover;11;5;450,0;1,44;14;2032,8000000000002
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Pastori;12;5;467,55335131606887;1,3785303023915199;27;2673,0
S5AK10;TURVO III (LEX);Rampazo;12;5;494,9874225687377;1,443982454918312;21;1940,3999999999999
S6BG08;SINIMBU;Tover;12;5;477,26180002542424;1,5346621322526182;14;1960,0
S5AK10;TURVO III (LEX);Pastori;13;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S5AK10;TURVO III (LEX);Rampazo;13;5;494,9874225687377;1,443982454918312;21;1940,3999999999999
S6C335;FORTALEZA;Tover;13;5;462,15749645501194;1,5198740867952;14;1940,4
S5AK10;TURVO III (LEX);Pastori;14;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S5AK10;TURVO III (LEX);Rampazo;14;5;494,9874225687377;1,443982454918312;21;1940,3999999999999
S6C335;FORTALEZA;Tover;14;5;462,15749645501194;1,5198740867952;14;1940,4
S5AK10;TURVO III (LEX);Pastori;15;5;494,9874225687377;1,443982454918312;27;2494,7999999999997
S5AK05;TURVO III (LEX);Rampazo;15;5;493,2032472949478;1,4790448823362998;21;1940,3999999999999
S6C335;FORTALEZA;Tover;15;5;462,15749645501194;1,5198740867952;14;1940,4
S5AK05;TURVO III (LEX);Pastori;16;5;493,2032472949478;1,4790448823362998;27;2494,7999999999997
S5AK05;TURVO III (LEX);Rampazo;16;5;493,2032472949478;1,4790448823362998;21;1940,3999999999999
S6C335;FORTALEZA;Tover;16;5;462,15749645501194;1,5198740867952;14;1940,4
S5AK05;TURVO III (LEX);Pastori;17;5;493,2032472949478;1,4790448823362998;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;17;5;485,00174033075893;1,513739550085731;21;1940,3999999999999
S6BG11;SINIMBU;Tover;17;5;479,286553196587;1,5425665925371712;14;1150,0
S5AK09;TURVO III (LEX);Pastori;18;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;18;5;485,00174033075893;1,513739550085731;21;1940,3999999999999
S6BG10;SINIMBU;Tover;18;5;479,65062513371606;1,5474716699257756;14;1100,0
S5AK09;TURVO III (LEX);Pastori;19;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;19;5;485,00174033075893;1,513739550085731;21;1940,3999999999999
S6BG14;SINIMBU;Tover;19;5;481,23848707688614;1,5490566931886653;14;800,0
S5AK09;TURVO III (LEX);Pastori;20;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;20;5;485,00174033075893;1,513739550085731;21;1940,3999999999999
S6C335;FORTALEZA;Tover;20;5;462,15749645501194;1,5198740867952;14;643,4000000000005
S5AK09;TURVO III (LEX);Pastori;21;5;485,00174033075893;1,513739550085731;27;2494,7999999999997
S5AK09;TURVO III (LEX);Rampazo;21;5;485,00174033075893;1,513739550085731;21;1940,3999999999999
S6BX01;SANTO ANTONIO SALIG.;Tover;21;5;450,0;1,44;14;503,2000000000007
S5AK08;TURVO III (LEX);Pastori;22;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;22;5;484,2538258973078;1,515093704135877;21;1940,3999999999999
S6BG12;SINIMBU;Tover;22;5;478,1907425638097;1,5321403213808318;14;474,7999999999993
S5AK08;TURVO III (LEX);Pastori;23;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;23;5;484,2538258973078;1,515093704135877;21;1940,3999999999999
S5AK08;TURVO III (LEX);Pastori;24;5;484,2538258973078;1,515093704135877;27;2494,7999999999997
S5AK08;TURVO III (LEX);Rampazo;24;5;484,2538258973078;1,515093704135877;21;1940,3999999999999
S5AK09;TURVO III (LEX);Pastori;25;5;485,00174033075893;1,513739550085731;27;1614,8000000000022
S5AW14;PIRACEMA_GLEBA PULADOR - DX;Rampazo;25;5;467,55335131606887;1,3785303023915199;21;1604,0800000000017
S3AX04;INDIANA II;Pastori;26;5;471,0267981311363;1,511823288806421;27;1300,0
S5AW13;PIRACEMA_GLEBA PULADOR - DX;Rampazo;26;5;471,88326453558943;1,4101627217065384;21;1430,5400000000009
S5AK05;TURVO III (LEX);Pastori;27;5;493,2032472949478;1,4790448823362998;27;959,8599999999965
S5AW10;PIRACEMA_GLEBA PULADOR - DX;Rampazo;27;5;489,6578141156763;1,4414397793136209;21;1193,1200000000008
S3AX01;INDIANA II;Pastori;28;5;476,35931165453064;1,546496658710454;27;469,69999999999936
S5AK10;TURVO III (LEX);Rampazo;28;5;494,9874225687377;1,443982454918312;21;694,4000000000028
S5AK08;TURVO III (LEX);Pastori;29;5;484,2538258973078;1,515093704135877;27;358,4000000000026
